2021PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-10-14 12:15,WATER,VERTICAL INTEGRATED,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880040,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2021-10-14 12:35,WATER,VERTICAL INTEGRATED,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880041,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-10-14 11:35,WATER,VERTICAL INTEGRATED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880042,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2022-03-10 11:25,WATER,VERTICAL INTEGRATED,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880043,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2022-03-10 12:00,WATER,VERTICAL INTEGRATED,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-03-10 12:20,WATER,VERTICAL INTEGRATED,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880045,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-03-11 12:05,WATER,VERTICAL INTEGRATED,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880046,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-03-11 12:30,WATER,VERTICAL INTEGRATED,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN880047,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2022-03-10 15:00,WATER,VERTICAL INTEGRATED,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880001,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-05-26 13:05,WATER,VERTICAL INTEGRATED,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880002,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-05-26 12:45,WATER,VERTICAL INTEGRATED,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880003,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-05-26 12:20,WATER,VERTICAL INTEGRATED,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880004,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-05-23 16:00,WATER,VERTICAL INTEGRATED,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880005,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-05-23 13:05,WATER,VERTICAL INTEGRATED,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880006,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-05-23 13:20,WATER,VERTICAL INTEGRATED,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880007,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:00,WATER,TRIPLICATE SAMPLE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880008,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:05,WATER,TRIPLICATE SAMPLE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:10,WATER,TRIPLICATE SAMPLE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880012,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-06-07 13:45,WATER,VERTICAL INTEGRATED,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880013,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-06-07 11:50,WATER,VERTICAL INTEGRATED,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-06-07 11:30,WATER,VERTICAL INTEGRATED,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-06-07 11:15,WATER,VERTICAL INTEGRATED,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880016,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-06-08 12:10,WATER,VERTICAL INTEGRATED,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-06-08 11:55,WATER,VERTICAL INTEGRATED,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880018,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-06-08 11:40,WATER,VERTICAL INTEGRATED,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880019,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-06-21 14:00,WATER,VERTICAL INTEGRATED,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-06-21 11:25,WATER,VERTICAL INTEGRATED,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-06-21 12:05,WATER,VERTICAL INTEGRATED,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880022,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-06-21 10:50,WATER,VERTICAL INTEGRATED,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880023,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-06-22 12:11,WATER,VERTICAL INTEGRATED,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880024,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-06-22 11:45,WATER,VERTICAL INTEGRATED,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880025,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-06-22 11:25,WATER,VERTICAL INTEGRATED,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880026,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-07-05 13:55,WATER,VERTICAL INTEGRATED,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880027,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-07-05 12:20,WATER,VERTICAL INTEGRATED,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880028,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-07-05 12:00,WATER,VERTICAL INTEGRATED,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880029,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-07-05 11:35,WATER,VERTICAL INTEGRATED,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880030,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-07-06 12:19,WATER,VERTICAL INTEGRATED,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880031,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-07-06 11:59,WATER,VERTICAL INTEGRATED,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880032,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:45,WATER,TRIPLICATE SAMPLE,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:50,WATER,TRIPLICATE SAMPLE,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880034,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:55,WATER,TRIPLICATE SAMPLE,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880037,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-07-19 13:25,WATER,VERTICAL INTEGRATED,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880038,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-07-19 10:55,WATER,VERTICAL INTEGRATED,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-07-19 11:20,WATER,VERTICAL INTEGRATED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN880040,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-07-19 10:35,WATER,VERTICAL INTEGRATED,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
