2016PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-06-22 12:20,WATER,VERTICAL INTEGRATED,3.8,,,,,,,,,,
2016PN880052,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-06-29 12:50,WATER,DISCRETE SAMPLE,0.4,,,,,,,,,,
2016PN880057,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2016-06-29 13:10,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2016PN880058,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 10 OF 10,AL07DD0002,56.71813889,-111.4028333,2016-06-29 15:30,WATER,DISCRETE SAMPLE,0.56,,,,,,,,,,
2016PN880059,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 1 OF 10,AL07DD0002,56.72061111,-111.4058056,2016-06-29 16:00,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2016PN880062,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-07-19 12:35,WATER,VERTICAL INTEGRATED,3.3,,4.78,,0.17,,,,,,
2016PN880063,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2016-07-19 12:10,WATER,VERTICAL INTEGRATED,2.7,,4.88,,0.17,,,,,,
2016PN880064,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2016-07-19 11:50,WATER,VERTICAL INTEGRATED,1,,4.42,,0.14,,,,,,
2016PN880065,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-07-19 9:15,WATER,TRIPLICATE SAMPLE,2.7,,5.35,,0.16,,,,,,
2016PN880066,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-07-19 9:20,WATER,TRIPLICATE SAMPLE,,,5.44,,0.15,,,,,,
2016PN880067,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-07-19 9:25,WATER,TRIPLICATE SAMPLE,,,5.53,,0.15,,,,,,
2016PN880068,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2016-07-19 10:10,WATER,VERTICAL INTEGRATED,2.8,,5.82,,0.2,,,,,,
2016PN880069,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2016-07-19 10:30,WATER,VERTICAL INTEGRATED,1.7,,4.93,,0.18,,,,,,
2016PN880075,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-07-20 10:15,WATER,VERTICAL INTEGRATED,1.1,,7.31,,0.19,,,,,,
2016PN880076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-07-20 10:50,WATER,VERTICAL INTEGRATED,1.8,,7.33,,0.19,,,,,,
2016PN880077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-07-20 11:15,WATER,VERTICAL INTEGRATED,2.9,,6.34,,0.2,,,,,,
2016PN880078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2016-07-20 10:25,WATER,VERTICAL INTEGRATED,2.3,,,,,,,,,,
2016PN880079,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-07-20 13:50,WATER,VERTICAL INTEGRATED,5.1,,,,,,,,,,
2016PN880096,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2016-08-17 12:10,WATER,VERTICAL INTEGRATED,1.3M,,,,,,,,,,
2016PN880097,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-08-17 13:45,WATER,VERTICAL INTEGRATED,4.2,,,,,,,,,,
2016PN880098,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-08-16 10:00,WATER,VERTICAL INTEGRATED,3.3,,2.73,,0.1,,,,,,
2016PN880099,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2016-08-16 10:35,WATER,VERTICAL INTEGRATED,2.7,,2.83,,0.08,,,,,,
2016PN880100,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2016-08-16 11:00,WATER,VERTICAL INTEGRATED,1.2,,2.48,,0.08,,,,,,
2016PN880101,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-08-16 13:13,WATER,VERTICAL INTEGRATED,2.8,,2.34,,0.08,,,,,,
2016PN880102,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2016-08-16 12:50,WATER,VERTICAL INTEGRATED,3,,2.98,,0.08,,,,,,
2016PN880103,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2016-08-16 12:30,WATER,VERTICAL INTEGRATED,1.7,,3.08,,0.1,,,,,,
2016PN880104,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-08-17 11:50,WATER,VERTICAL INTEGRATED,1,,7.08,,0.15,,,,,,
2016PN880105,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-08-17 11:30,WATER,VERTICAL INTEGRATED,2,,9.23,,0.19,,,,,,
2016PN880106,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:05,WATER,TRIPLICATE SAMPLE,2.9,,19,,0.15,,,,,,
2016PN880107,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:10,WATER,TRIPLICATE SAMPLE,2.9,,6.94,,0.14,,,,,,
2016PN880108,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:15,WATER,TRIPLICATE SAMPLE,2.9,,6.81,,0.18,,,,,,
2016PN880120,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2016-09-14 11:40,WATER,DISCRETE SAMPLE,1.9,,,,,,,,,,
2016PN880121,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-09-14 14:00,WATER,DISCRETE SAMPLE,4.4,,,,,,,,,,
2016PN880122,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-09-13 10:10,WATER,VERTICAL INTEGRATED,3.9,,6.33,,0.21,,,,,,
2016PN880123,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2016-09-13 10:42,WATER,VERTICAL INTEGRATED,2.9,,6.6,,0.19,,,,,,
2016PN880124,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21505,-111.6115,2016-09-13 11:00,WATER,VERTICAL INTEGRATED,2.2,,6.53,,0.18,,,,,,
2016PN880125,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-09-13 12:20,WATER,VERTICAL INTEGRATED,3.2,,5.57,,0.17,,,,,,
2016PN880126,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2016-09-13 12:42,WATER,VERTICAL INTEGRATED,3.5,,5.88,,0.16,,,,,,
2016PN880127,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12694444,-111.6030833,2016-09-13 13:05,WATER,VERTICAL INTEGRATED,2.9,,7.19,,0.2,,,,,,
2016PN880128,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-09-14 10:15,WATER,VERTICAL INTEGRATED,1,,5.64,,0.17,,,,,,
2016PN880129,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-09-14 10:52,WATER,VERTICAL INTEGRATED,2.3,,5.64,,0.18,,,,,,
2016PN880130,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-09-14 11:10,WATER,VERTICAL INTEGRATED,3.3,,7.22,,0.16,,,,,,
2016PN880137,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2017-01-24 11:45,WATER,TRIPLICATE SAMPLE,2.63,,0.78,,0.04,,,,,,
2016PN880138,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2017-01-24 11:50,WATER,TRIPLICATE SAMPLE,2.63,,0.69,,0.05,,,,,,
2016PN880139,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2017-01-24 11:55,WATER,TRIPLICATE SAMPLE,2.63,,0.71,,0.04,,,,,,
2016PN880140,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2017-01-24 15:25,WATER,VERTICAL INTEGRATED,1.38,,0.67,,0.04,,,,,,
2016PN880141,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-01-26 14:25,WATER,VERTICAL INTEGRATED,3.13,,2.09,,0.05,,,,,,
2016PN880147,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-01-25 13:25,WATER,VERTICAL INTEGRATED,1.17,,0.8,,0.04,,,,,,
2016PN880148,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-01-26 10:55,WATER,VERTICAL INTEGRATED,2.4,,0.98,,0.05,,,,,,
2016PN880149,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-01-26 11:30,WATER,VERTICAL INTEGRATED,1.6,,0.74,,0.04,,,,,,
2016PN880150,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-01-26 12:05,WATER,VERTICAL INTEGRATED,2.7,,0.72,L,0.03,,,,,,
2016PN880153,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2017-02-14 10:45,WATER,VERTICAL INTEGRATED,2.05,,0.7,,0.04,,,,,,
2016PN880154,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2017-02-14 12:25,WATER,VERTICAL INTEGRATED,1.03,,0.66,L,0.03,,,,,,
2016PN880155,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-02-16 10:00,WATER,VERTICAL INTEGRATED,2.11,,0.63,L,0.03,,,,,,
2016PN880156,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-02-16 10:35,WATER,VERTICAL INTEGRATED,0.93,,0.77,,0.04,,,,,,
2016PN880157,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-02-16 11:00,WATER,VERTICAL INTEGRATED,2.03,,0.82,,0.04,,,,,,
2016PN880158,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-02-16 13:05,WATER,VERTICAL INTEGRATED,2.7,,2.5,,0.06,,,,,,
2016PN880159,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-02-15 12:50,WATER,VERTICAL INTEGRATED,0.88,,0.8,,0.04,,,,,,
2016PN880161,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2017-03-14 10:45,WATER,VERTICAL INTEGRATED,1.6,,0.64,L,0.03,,,,,,
2016PN880162,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2017-03-14 12:45,WATER,TRIPLICATE SAMPLE,0.68,,0.64,,0.04,,,,,,
2016PN880163,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2017-03-14 12:50,WATER,TRIPLICATE SAMPLE,,,0.7,L,0.03,,,,,,
2016PN880164,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2017-03-14 12:55,WATER,TRIPLICATE SAMPLE,,,0.64,,0.04,,,,,,
2016PN880170,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-03-16 11:30,WATER,VERTICAL INTEGRATED,1.6,,0.71,L,0.03,,,,,,
2016PN880171,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-03-16 12:00,WATER,VERTICAL INTEGRATED,0.79,,0.81,L,0.03,,,,,,
2016PN880172,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-03-16 12:20,WATER,VERTICAL INTEGRATED,1.65,,0.83,L,0.03,,,,,,
2016PN880173,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-03-16 14:15,WATER,VERTICAL INTEGRATED,2.3,,2.05,,0.06,,,,,,
2016PN880174,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-03-15 12:55,WATER,VERTICAL INTEGRATED,0.61,,1.11,L,0.03,,,,,,
2017PN880001,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-05-24 13:30,WATER,VERTICAL INTEGRATED,2.5,,20,,0.26,,,,,,
2017PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-05-24 14:30,WATER,VERTICAL INTEGRATED,3.8,,12.5,,0.17,,,,,,
2017PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-06-20 12:25,WATER,VERTICAL INTEGRATED,1,,22.5,,0.28,,,,,,
2017PN880004,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-05-25 12:25,WATER,VERTICAL INTEGRATED,3.8,,14.3,,0.28,,,,,,
2017PN880006,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-05-24 10:00,WATER,TRIPLICATE SAMPLE,4,,18.5,,0.27,,,,,,
2017PN880007,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-05-24 10:05,WATER,TRIPLICATE SAMPLE,,,16.6,,0.26,,,,,,
2017PN880008,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-05-24 10:10,WATER,TRIPLICATE SAMPLE,,,17.6,,0.27,,,,,,
2017PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-06-20 11:40,WATER,VERTICAL INTEGRATED,2.8,,30.6,,0.26,,,,,,
2017PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-06-20 11:10,WATER,VERTICAL INTEGRATED,2.9,,20.7,,0.29,,,,,,
2017PN880016,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-06-20 10:30,WATER,VERTICAL INTEGRATED,4.3,,10.8,,0.18,,,,,,
2017PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-06-21 13:25,WATER,VERTICAL INTEGRATED,4.1,,15.7,,0.24,,,,,,
2017PN880019,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-06-20 16:00,WATER,VERTICAL INTEGRATED,6,,22.5,,0.29,,,,,,
2017PN880020,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2017-06-21 14:15,WATER,VERTICAL INTEGRATED,5,,16.2,,0.2,,,,,,
2017PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-07-18 10:00,WATER,VERTICAL INTEGRATED,2.2,,4.63,,0.24,,,,,,
2017PN880022,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-07-18 11:25,WATER,VERTICAL INTEGRATED,1.7,,4.41,,0.16,,,,,,
2017PN880023,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-07-18 10:40,WATER,VERTICAL INTEGRATED,2.9,,4.15,,0.23,,,,,,
2017PN880024,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-08-16 13:15,WATER,VERTICAL INTEGRATED,4.5,,3.39,,0.13,,,,,,
2017PN880026,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-07-18 13:15,WATER,VERTICAL INTEGRATED,5.5,,4.96,,0.22,,,,,,
2017PN880027,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2017-07-19 12:10,WATER,VERTICAL INTEGRATED,3.5,,4.58,,0.18,,,,,,
2017PN880028,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-07-19 10:35,WATER,TRIPLICATE SAMPLE,5.6,,4.53,,0.2,,,,,,
2017PN880029,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-07-19 10:40,WATER,TRIPLICATE SAMPLE,5.6,,5.11,,0.17,,,,,,
2017PN880030,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-07-19 10:45,WATER,TRIPLICATE SAMPLE,5.6,,4.74,,0.14,,,,,,
2017PN880036,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-08-16 11:20,WATER,VERTICAL INTEGRATED,1.9,,3.53,,0.12,,,,,,
2017PN880037,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-08-16 11:00,WATER,VERTICAL INTEGRATED,1.7,,3.67,,0.17,,,,,,
2017PN880038,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-08-16 10:30,WATER,VERTICAL INTEGRATED,2.2,,4.15,,0.15,,,,,,
2017PN880039,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-09-12 14:10,WATER,VERTICAL INTEGRATED,4.3,,1.09,,0.04,,,,,,
2017PN880040,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-08-17 10:05,WATER,VERTICAL INTEGRATED,4.1,,3.34,,0.13,,,,,,
2017PN880041,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2017-08-17 10:55,WATER,VERTICAL INTEGRATED,3,,3.03,,0.15,,,,,,
2017PN880043,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-09-12 12:00,WATER,VERTICAL INTEGRATED,1.8,,1.02,,0.05,,,,,,
2017PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-09-12 11:25,WATER,VERTICAL INTEGRATED,2,,1.32,,0.06,,,,,,
2017PN880045,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-09-12 9:50,WATER,TRIPLICATE SAMPLE,0.5,,1.01,,0.05,,,,,,
2017PN880046,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-09-12 9:55,WATER,TRIPLICATE SAMPLE,0.5,,0.98,,0.05,,,,,,
2017PN880047,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-09-12 10:00,WATER,TRIPLICATE SAMPLE,0.5,,1,,0.05,,,,,,
2017PN880053,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-09-13 13:00,WATER,VERTICAL INTEGRATED,3.8,,1.17,,0.05,,,,,,
2017PN880054,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2017-09-13 13:30,WATER,VERTICAL INTEGRATED,2.6,,1.34,,0.05,,,,,,
2017PN880056,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2017-10-11 14:00,WATER,VERTICAL INTEGRATED,4.6,,2.31,,0.07,,,,,,
2017PN880057,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-10-11 10:35,WATER,VERTICAL INTEGRATED,1.1,,2.32,,0.08,,,,,,
2017PN880058,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-10-11 11:10,WATER,VERTICAL INTEGRATED,1.8,,2.22,,0.08,,,,,,
2017PN880059,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-10-11 11:30,WATER,VERTICAL INTEGRATED,2,,1.9,,0.07,,,,,,
2017PN880060,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-10-13 12:30,WATER,VERTICAL INTEGRATED,4,,2.33,,0.08,,,,,,
2017PN880061,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2017-10-13 11:35,WATER,VERTICAL INTEGRATED,3.4,,2.05,,0.07,,,,,,
2017PN880063,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2018-01-16 13:30,WATER,VERTICAL INTEGRATED,3.5,,3.9,,0.06,,,,,,
2017PN880064,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2018-01-16 10:45,WATER,VERTICAL INTEGRATED,0.95,,1.16,,0.05,,,,,,
2017PN880065,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2018-01-16 11:10,WATER,VERTICAL INTEGRATED,1.53,,0.82,,0.05,,,,,,
2017PN880066,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2018-01-16 11:35,WATER,VERTICAL INTEGRATED,1.95,,0.94,,0.04,,,,,,
2017PN880068,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2018-01-17 12:30,WATER,VERTICAL INTEGRATED,2.42,,0.78,,0.04,,,,,,
2017PN880069,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2018-01-17 11:20,WATER,TRIPLICATE SAMPLE,3.83,,0.79,,0.05,,,,,,
2017PN880070,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2018-01-17 11:25,WATER,TRIPLICATE SAMPLE,3.83,,0.82,,0.05,,,,,,
2017PN880071,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2018-01-17 11:30,WATER,TRIPLICATE SAMPLE,3.83,,0.84,,0.04,,,,,,
2017PN880076,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2018-02-13 14:11,WATER,VERTICAL INTEGRATED,1.84,,0.52,,0.04,,,,,,
