2014PN200239,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2015-01-28 10:30,WATER,VERTICAL INTEGRATED,2.63,,0,,7.732,,0.569,,0.014,,,,,,,,0.081,,7.59,,0.142,,0.257,,0.025,,,,0.544,,0.0349,,0.021,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200240,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-02-17 11:10,WATER,VERTICAL INTEGRATED,2.83,,0,,6.839,,0.526,,0.015,,,,,,,,0.047,,6.66,,0.179,,0.264,,0.013,,,,0.513,,0.0349,,0.02,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200241,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-02-17 12:45,WATER,VERTICAL INTEGRATED,2.59,,0,,6.756,,0.491,,0.016,,,,,,,,0.05,,6.57,,0.186,,0.24,L,0.01,,,,0.486,,0.0357,,0.02,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200242,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2015-02-17 13:20,WATER,VERTICAL INTEGRATED,0.21,,0,,6.839,,0.474,,0.017,,,,,,,,0.051,,6.63,,0.209,,0.242,L,0.01,,,,0.469,,0.0358,,0.019,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200243,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-02-18 10:35,WATER,VERTICAL INTEGRATED,1.83,,0,,6.896,,0.504,,0.018,,,,,,,,0.03,,6.78,,0.116,,0.27,L,0.01,,,,0.499,,0.0413,,0.023,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200244,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2015-02-18 11:10,WATER,VERTICAL INTEGRATED,0.81,,0,,6.96,,0.448,,0.009,,,,,,,,0.034,,6.83,,0.13,,0.207,,0.015,,,,0.433,,0.031,,0.022,L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200245,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-02-18 12:05,WATER,VERTICAL INTEGRATED,1.73,,0,,6.825,,0.497,,0.01,,,,,,,,0.067,,6.56,,0.265,,0.217,,0.027,,,,0.47,,0.0309,,0.021,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200246,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-03-10 9:50,WATER,VERTICAL INTEGRATED,1.73,,0,,7.441,,0.619,,0.007,,,,,,,,0.041,,7.08,,0.361,,0.34,,0.036,,,,0.583,,0.0406,,0.034,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200247,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 9:55,WATER,TRIPLICATE SAMPLE,2.56,,0,,7.115,,0.513,,0.005,,,,,,,,0.036,,6.87,,0.245,,0.252,,0.037,,,,0.476,,0.0405,,0.035,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200248,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 10:00,WATER,TRIPLICATE SAMPLE,,,PM,,6.853,,0.49,,0.017,,,,,,,,0.044,,6.64,,0.213,,0.251,,0.025,,,,0.465,,0.0406,,0.024,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200249,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 10:05,WATER,TRIPLICATE SAMPLE,,,PM,,6.822,,0.488,,0.019,,,,,,,,0.038,,6.57,,0.252,,0.252,,0.024,,,,0.464,,0.0407,,0.022,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200255,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-03-10 10:30,WATER,VERTICAL INTEGRATED,1.76,,0,,6.842,,0.523,,0.005,,,,,,,,0.059,,6.66,,0.182,,0.234,,0.025,,,,0.498,,0.0456,,0.041,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200256,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2015-03-11 11:55,WATER,VERTICAL INTEGRATED,3.25,,NC,,6.826,,0.5,,0.021,,,,,,,,0.04,,6.51,,0.316,,0.249,,0.033,,,,0.467,,0.0402,,0.019,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200257,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2015-03-12 11:38,WATER,VERTICAL INTEGRATED,2.57,,0,,7.364,,0.536,L,0.004,,,,,,,,0.035,,7.3,,0.064,,0.297,L,0.01,,,,0.531,,0.0416,,0.039,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200258,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-03-12 9:50,WATER,VERTICAL INTEGRATED,2.26,,0,,7.967,,0.468,,0.014,,,,,,,,0.037,,7.81,,0.157,,0.259,L,0.01,,,,0.463,,0.0385,,0.024,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880001,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-05-26 10:00,WATER,VERTICAL INTEGRATED,4.2,,0,,9.6,,0.409,,0.054,,,,,,,,0.008,,7.98,,1.62,L,0.01,,0.169,,,,0.24,,0.0612,,0.007,,33,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-05-27 9:15,WATER,VERTICAL INTEGRATED,2.3,,0.001,,9.13,,0.398,,0.067,,,,,,,,0.012,,7.33,,1.8,L,0.01,,0.159,,,,0.239,,0.0732,,0.006,,50,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-05-27 10:15,WATER,VERTICAL INTEGRATED,2.4,,0,,9.86,,0.495,,0.073,,,,,,,,0.008,,8.24,,1.62,,0.011,,0.228,,,,0.267,,0.08,,0.007,,40,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880004,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-05-28 10:15,WATER,VERTICAL INTEGRATED,4.5,,0,,11.03,,0.485,,0.085,,,,,,,,0.009,,8.63,,2.4,L,0.01,,0.212,,,,0.273,,0.0934,,0.008,,68,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880005,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-05-28 11:00,WATER,VERTICAL INTEGRATED,2.5,,0.001,,10.9,,0.54,,0.092,,,,,,,,0.011,,7.93,,2.97,L,0.01,,0.296,,,,0.244,,0.1,,0.008,,74,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880006,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 8:50,WATER,TRIPLICATE SAMPLE,4,,0,,4.41,,0.195,,0.051,,,,,,,,0.006,,3.04,,1.37,,0.014,,0.107,,,,0.088,,0.0552,,0.004,,49,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880007,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 8:55,WATER,TRIPLICATE SAMPLE,,,PM,,4.59,,0.223,,0.049,,,,,,,,0.01,,2.8,,1.79,,0.012,,0.141,,,,0.082,,0.0518,,0.003,,47,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880008,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 9:00,WATER,TRIPLICATE SAMPLE,,,PM,,4.18,,0.22,,0.044,,,,,,,,0.005,,2.77,,1.41,L,0.01,,0.123,,,,0.097,,0.0531,,0.009,,47,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-06-24 12:34,WATER,VERTICAL INTEGRATED,2.4,,0,,4.08,,0.256,,0.052,,,,,,,L,0.005,,2.65,,1.43,L,0.01,,0.11,,,,0.146,,0.054,,0.002,,48,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-06-24 13:30,WATER,VERTICAL INTEGRATED,2.4,,0,,6.31,,0.294,,0.039,,,,,,,,0.007,,4.92,,1.39,L,0.01,,0.11,,,,0.184,,0.053,,0.014,,31,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880016,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-06-25 10:01,WATER,VERTICAL INTEGRATED,4.2,,0,,4.98,,0.278,,0.045,,,,,,,L,0.005,,3.6,,1.38,L,0.01,,0.135,,,,0.143,,0.0604,,0.015,,39,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-06-25 11:22,WATER,VERTICAL INTEGRATED,2,,0,,5.45,,0.337,,0.027,,,,,,,L,0.005,,3.86,,1.59,L,0.01,,0.156,,,,0.181,,0.0599,,0.033,,42,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880018,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-07-21 10:30,WATER,VERTICAL INTEGRATED,3.9,,0,,4.37,,0.213,,0.031,,,,,,,,0.007,,3.36,,1.01,,0.02,,0.105,,,,0.108,,0.0384,,0.007,,27,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880019,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-07-21 12:55,WATER,VERTICAL INTEGRATED,2.5,,0,,4.367,,0.224,,0.018,,,,,,,,0.006,,3.37,,0.997,,0.011,,0.107,,,,0.117,,0.0389,,0.021,,27,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-07-21 14:15,WATER,VERTICAL INTEGRATED,2.3,,0,,8.79,,0.349,,0.042,,,,,,,,0.009,,7.56,,1.23,L,0.01,,0.121,,,,0.228,,0.0519,,0.01,,24,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880021,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-07-22 10:45,WATER,VERTICAL INTEGRATED,4.8,,0,,7,,0.272,,0.043,,,,,,,,0.009,,6.03,,0.97,,0.01,,0.105,,,,0.167,,0.0486,,0.006,,27,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880022,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-07-22 11:30,WATER,VERTICAL INTEGRATED,1.5,,0,,6.85,,0.255,,0.048,,,,,,,,0.008,,5.84,,1.01,L,0.01,,0.097,,,,0.158,,0.0542,,0.006,,31,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880023,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-08-18 9:27,WATER,VERTICAL INTEGRATED,3.7,,0.001,,5.302,,0.246,,0.026,,,,,,,,0.012,,4.62,,0.682,L,0.01,,0.092,,,,0.154,,0.0265,L,0.002,,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880024,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-08-18 11:35,WATER,VERTICAL INTEGRATED,1.1,,0,,5.204,,0.187,,0.023,,,,,,,,0.006,,4.66,,0.544,L,0.01,,0.045,,,,0.142,,0.0254,,0.002,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880025,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-08-18 12:25,WATER,VERTICAL INTEGRATED,2.1,,0.001,,10.475,,0.335,,0.037,,,,,,,,0.015,,9.67,,0.805,,0.02,,0.071,,,,0.264,,0.0466,,0.01,,13,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880026,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:05,WATER,TRIPLICATE SAMPLE,2.8,,0,,7.301,,0.271,,0.039,,,,,,,,0.005,,6.58,,0.721,L,0.01,,0.095,,,,0.176,,0.0433,,0.004,,13,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880027,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:10,WATER,TRIPLICATE SAMPLE,,,0.001,,7.425,,0.257,,0.034,,,,,,,,0.009,,6.72,,0.705,,0.01,,0.079,,,,0.178,,0.0399,,0.006,,15,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880028,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:15,WATER,TRIPLICATE SAMPLE,,,0.001,,7.519,,0.238,,0.033,,,,,,,,0.007,,6.97,,0.549,L,0.01,,0.045,,,,0.193,,0.0389,,0.006,,15,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880034,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2015-08-19 11:40,WATER,VERTICAL INTEGRATED,3.2,,0,,7.499,,0.309,,0.038,,,,,,,L,0.005,,6.69,,0.809,L,0.01,,0.098,,,,0.211,,0.0394,L,0.002,,16,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN880035,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-08-20 9:55,WATER,VERTICAL INTEGRATED,4.8,,0,,7.948,,0.339,,0.037,,,,,,,,0.006,,7.06,,0.888,L,0.01,,0.106,,,,0.233,,0.0442,,0.007,,20,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
